1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,bestK,time(nanoTime/TIMER_DIVISOR)
7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,7.046382486008263,145,128025
7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,7.01284929400074,145,127388
6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,6.9963338092886245,145,72409
7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,7.013857816802558,145,73353
7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,7.051192739128101,145,72264
7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,7.025120773695335,145,70856
6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,6.8990829193584124,145,132329
7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,7.047903326106701,145,98020
7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,7.008819349890076,145,79584
7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,7.007486639941815,145,76264
